epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1914.7,1.33625,1.16173,1.51738,0.96874,0.94191,0.98548,0.66405,1.18841,0.69905,1.2549,0.000971133,0.000971133,0.000971133
43,1960.16,1.32478,1.17331,1.52585,0.93229,0.9141,0.96713,0.62236,1.29784,0.73048,1.30948,0.000932325,0.000932325,0.000932325
44,2005.44,1.33054,1.17728,1.52884,0.96055,0.94191,0.98279,0.64171,1.24013,0.64222,1.2607,0.000893638,0.000893638,0.000893638
45,2050.73,1.35387,1.19272,1.53511,0.97884,0.93776,0.98607,0.67023,1.15704,0.6293,1.22679,0.00085513,0.00085513,0.00085513
46,2096.25,1.33411,1.16617,1.51375,0.95835,0.95473,0.98798,0.67263,1.13475,0.62945,1.22251,0.000816861,0.000816861,0.000816861
47,2141.76,1.31594,1.14818,1.51,0.97837,0.93836,0.98649,0.67509,1.13586,0.60882,1.21598,0.000778889,0.000778889,0.000778889
48,2187.27,1.30859,1.15316,1.50047,0.95091,0.94191,0.98097,0.70334,1.0455,0.61964,1.1747,0.000741274,0.000741274,0.000741274
49,2232.79,1.29989,1.15244,1.50198,0.98276,0.94588,0.99138,0.66866,1.17677,0.60076,1.22382,0.000704073,0.000704073,0.000704073
50,2278.25,1.30563,1.136,1.50422,0.97339,0.95021,0.989,0.65172,1.24492,0.59295,1.26719,0.000667344,0.000667344,0.000667344
51,2323.52,1.327,1.14011,1.50391,0.98154,0.94191,0.9904,0.69035,1.13178,0.6001,1.21654,0.000631143,0.000631143,0.000631143
52,2368.87,1.30474,1.12098,1.4875,0.98261,0.93797,0.98936,0.65534,1.23963,0.65175,1.26433,0.000595527,0.000595527,0.000595527
53,2414.19,1.30737,1.11154,1.50779,0.98005,0.94191,0.99099,0.64239,1.29014,0.6378,1.29747,0.000560549,0.000560549,0.000560549
54,2459.54,1.27646,1.08628,1.47625,0.95597,0.97095,0.99213,0.65424,1.2717,0.61407,1.28797,0.000526265,0.000526265,0.000526265
55,2504.92,1.27213,1.10433,1.47945,0.9828,0.94843,0.98884,0.6464,1.29082,0.62949,1.30694,0.000492726,0.000492726,0.000492726
56,2550.22,1.27266,1.09323,1.472,0.98589,0.94191,0.9897,0.65563,1.22025,0.59371,1.24378,0.000459985,0.000459985,0.000459985
57,2595.59,1.2679,1.08107,1.46669,0.97342,0.93776,0.98699,0.66412,1.20974,0.61667,1.24263,0.000428093,0.000428093,0.000428093
58,2640.99,1.24387,1.07409,1.45995,0.95587,0.97925,0.99148,0.64954,1.27254,0.60972,1.25576,0.000397097,0.000397097,0.000397097
59,2686.32,1.28593,1.10257,1.47995,0.95648,0.9751,0.99242,0.63994,1.3409,0.62796,1.28429,0.000367046,0.000367046,0.000367046
60,2731.64,1.25283,1.07546,1.44707,0.96307,0.97389,0.99217,0.65788,1.23082,0.6342,1.26206,0.000337987,0.000337987,0.000337987
61,2776.99,1.25751,1.08674,1.46779,0.98323,0.94191,0.99111,0.69777,1.07047,0.5811,1.18125,0.000309964,0.000309964,0.000309964
62,2822.39,1.26651,1.09388,1.47459,0.98214,0.94191,0.99152,0.65646,1.25843,0.60064,1.2641,0.000283021,0.000283021,0.000283021
63,2867.82,1.2556,1.07686,1.46198,0.97859,0.94809,0.99149,0.60928,1.41635,0.6212,1.32798,0.000257198,0.000257198,0.000257198
64,2913.2,1.25462,1.08153,1.47304,0.97799,0.94191,0.99091,0.67054,1.20282,0.58603,1.24009,0.000232536,0.000232536,0.000232536
