epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13977.7,1.02194,1.12927,1.49331,0.85555,0.90148,0.9153,0.71445,0.76164,0.52729,1.16815,0.00643101,0.00643101,0.00643101
43,14309.1,1.02565,1.13356,1.49257,0.86038,0.90981,0.92252,0.72265,0.73616,0.51773,1.12449,0.00628101,0.00628101,0.00628101
44,14642.2,1.00454,1.10141,1.47823,0.86963,0.9031,0.91909,0.72485,0.71872,0.49278,1.12738,0.00612981,0.00612981,0.00612981
45,14973.6,1.01953,1.11479,1.48345,0.86785,0.90116,0.92062,0.72039,0.73638,0.50747,1.14242,0.00597754,0.00597754,0.00597754
46,15304.8,1.00322,1.10014,1.47119,0.86402,0.90463,0.92133,0.71872,0.71143,0.51699,1.11256,0.00582435,0.00582435,0.00582435
47,15636,1.00108,1.09005,1.46473,0.86822,0.8908,0.91513,0.70906,0.74308,0.53176,1.13185,0.0056704,0.0056704,0.0056704
48,15967.3,0.99946,1.08921,1.46946,0.8805,0.90549,0.92324,0.72064,0.72052,0.51242,1.12394,0.00551584,0.00551584,0.00551584
49,16298.6,1.00578,1.09032,1.46374,0.8782,0.91475,0.92218,0.72762,0.69925,0.49316,1.10799,0.00536081,0.00536081,0.00536081
50,16630,0.98609,1.06642,1.45172,0.88634,0.90981,0.9275,0.73234,0.70572,0.47795,1.10505,0.00520548,0.00520548,0.00520548
51,16962.4,0.98173,1.06257,1.45142,0.88981,0.92096,0.93158,0.73531,0.71511,0.45413,1.12507,0.00505,0.00505,0.00505
52,17293.8,0.97158,1.05563,1.44414,0.89593,0.9189,0.9331,0.73706,0.70848,0.45485,1.10629,0.00489452,0.00489452,0.00489452
53,17625.8,0.97303,1.0589,1.44461,0.88072,0.89599,0.92175,0.71782,0.72977,0.50417,1.11844,0.00473919,0.00473919,0.00473919
54,17957,0.96848,1.04783,1.43709,0.87849,0.91249,0.92803,0.72721,0.73316,0.47174,1.12418,0.00458416,0.00458416,0.00458416
55,18288.4,0.96356,1.03758,1.43309,0.88558,0.92072,0.93795,0.73417,0.73089,0.46301,1.11728,0.0044296,0.0044296,0.0044296
56,18621,0.95511,1.03929,1.42879,0.88089,0.90146,0.93014,0.72971,0.70805,0.48482,1.10779,0.00427565,0.00427565,0.00427565
57,18952.6,0.95191,1.0315,1.42282,0.86431,0.88312,0.91157,0.71318,0.71451,0.54043,1.11715,0.00412246,0.00412246,0.00412246
58,19284.3,0.94513,1.02184,1.4183,0.87064,0.88223,0.91398,0.7185,0.69735,0.51968,1.10921,0.00397019,0.00397019,0.00397019
59,19616.1,0.94826,1.01464,1.41456,0.87069,0.88935,0.91753,0.72643,0.70084,0.50064,1.11471,0.00381899,0.00381899,0.00381899
60,19947.9,0.93183,1.00741,1.40761,0.86847,0.87835,0.91145,0.71985,0.70806,0.53534,1.11499,0.00366899,0.00366899,0.00366899
61,20279.7,0.93088,1.00242,1.40113,0.8749,0.89766,0.92416,0.73336,0.69236,0.48573,1.10287,0.00352037,0.00352037,0.00352037
62,20611.1,0.92084,0.99949,1.39608,0.87087,0.89609,0.92533,0.72975,0.70229,0.48897,1.1111,0.00337325,0.00337325,0.00337325
63,20942.7,0.92439,0.99522,1.39671,0.8623,0.8962,0.92427,0.73228,0.69904,0.4923,1.1088,0.00322778,0.00322778,0.00322778
64,21274.2,0.91362,0.97909,1.39222,0.87131,0.90134,0.92889,0.73945,0.69061,0.47509,1.1055,0.00308412,0.00308412,0.00308412
65,21605.9,0.9057,0.97317,1.38304,0.87038,0.90042,0.93024,0.74085,0.69154,0.47229,1.10426,0.00294239,0.00294239,0.00294239
66,21939.5,0.91009,0.97111,1.38792,0.87301,0.90146,0.93173,0.74298,0.68619,0.46843,1.10112,0.00280275,0.00280275,0.00280275
67,22271.2,0.90408,0.96859,1.37957,0.87582,0.88947,0.92572,0.73826,0.68141,0.48402,1.09671,0.00266532,0.00266532,0.00266532
68,22602.7,0.89057,0.96145,1.37546,0.87105,0.88417,0.92208,0.73248,0.68761,0.50097,1.09997,0.00253024,0.00253024,0.00253024
69,22934.4,0.89887,0.96186,1.37516,0.87292,0.89088,0.92415,0.73304,0.69217,0.49619,1.10163,0.00239766,0.00239766,0.00239766
70,23267,0.88618,0.95187,1.37046,0.87488,0.89058,0.92584,0.73463,0.69251,0.48773,1.10154,0.00226769,0.00226769,0.00226769
71,23598.5,0.88648,0.94625,1.36781,0.86933,0.89132,0.92559,0.73569,0.69093,0.48736,1.10251,0.00214046,0.00214046,0.00214046
72,23930.1,0.87837,0.9427,1.36114,0.86752,0.88864,0.92334,0.73368,0.69338,0.48803,1.10621,0.00201611,0.00201611,0.00201611
73,24261.5,0.88419,0.93595,1.36627,0.85988,0.89356,0.92254,0.73475,0.68776,0.48439,1.10252,0.00189475,0.00189475,0.00189475
74,24593.1,0.8697,0.93359,1.35174,0.86556,0.8849,0.92126,0.73368,0.69017,0.48983,1.10657,0.00177651,0.00177651,0.00177651
75,24924.4,0.86542,0.93031,1.35007,0.86811,0.88016,0.91964,0.73177,0.6975,0.49756,1.11178,0.00166149,0.00166149,0.00166149
76,25256,0.86304,0.92294,1.34617,0.87004,0.87999,0.91731,0.7289,0.70343,0.50792,1.11731,0.00154982,0.00154982,0.00154982
77,25587.5,0.86055,0.91505,1.34243,0.87189,0.87659,0.91742,0.7284,0.7046,0.50785,1.11939,0.00144161,0.00144161,0.00144161
78,25918.9,0.85119,0.91793,1.337,0.87051,0.87289,0.91568,0.72828,0.70373,0.51138,1.11974,0.00133695,0.00133695,0.00133695
79,26250.7,0.84537,0.89811,1.3277,0.87089,0.87686,0.9154,0.72832,0.7037,0.50872,1.12051,0.00123596,0.00123596,0.00123596
80,26582.2,0.84803,0.89351,1.33583,0.87222,0.87999,0.91535,0.72856,0.70511,0.51,1.12262,0.00113873,0.00113873,0.00113873
81,26914.7,0.84237,0.89487,1.33045,0.87271,0.87896,0.91335,0.72726,0.70785,0.51591,1.12655,0.00104537,0.00104537,0.00104537
82,27246.4,0.84435,0.89797,1.32952,0.87487,0.8797,0.91442,0.7279,0.70507,0.51106,1.12574,0.000955951,0.000955951,0.000955951
83,27578,0.8343,0.89187,1.32728,0.87751,0.87865,0.91492,0.72827,0.7025,0.5104,1.12509,0.000870577,0.000870577,0.000870577
84,27909.5,0.83607,0.88685,1.32277,0.87768,0.87925,0.9142,0.72822,0.70179,0.50983,1.12462,0.000789327,0.000789327,0.000789327
85,28240.7,0.83119,0.88632,1.32271,0.87672,0.8799,0.91438,0.72717,0.70469,0.51172,1.12783,0.000712282,0.000712282,0.000712282
86,28573,0.82837,0.87947,1.32132,0.87791,0.87761,0.9145,0.72707,0.70701,0.51213,1.1306,0.000639518,0.000639518,0.000639518
87,28904.5,0.82778,0.87461,1.31831,0.87787,0.87761,0.91478,0.72716,0.70877,0.50981,1.13251,0.000571106,0.000571106,0.000571106
88,29235.7,0.82259,0.87255,1.31114,0.87847,0.8788,0.91493,0.72658,0.70983,0.50976,1.13338,0.000507115,0.000507115,0.000507115
89,29566.8,0.8213,0.87548,1.31945,0.87779,0.88044,0.91562,0.72699,0.71053,0.50719,1.13403,0.000447606,0.000447606,0.000447606
90,29897.8,0.8221,0.87143,1.319,0.87973,0.8785,0.91576,0.72673,0.71131,0.50714,1.13481,0.00039264,0.00039264,0.00039264
91,30232.5,0.80031,0.81366,1.33478,0.87868,0.88,0.91559,0.72669,0.71196,0.50889,1.13568,0.00034227,0.00034227,0.00034227
92,30564.6,0.76647,0.74433,1.30392,0.87815,0.88104,0.91646,0.72777,0.71145,0.50908,1.1361,0.000296546,0.000296546,0.000296546
93,30896,0.75874,0.73196,1.29867,0.87754,0.88208,0.91722,0.72885,0.71074,0.50834,1.13632,0.000255513,0.000255513,0.000255513
94,31226.9,0.74399,0.71599,1.28299,0.87842,0.88101,0.91776,0.72943,0.71068,0.5092,1.13737,0.000219212,0.000219212,0.000219212
95,31557.8,0.74789,0.70487,1.28716,0.87779,0.88134,0.91813,0.72986,0.71046,0.50881,1.13801,0.000187678,0.000187678,0.000187678
96,31888.2,0.7357,0.69594,1.27789,0.87904,0.88029,0.91846,0.73025,0.70964,0.50864,1.13809,0.000160943,0.000160943,0.000160943
97,32219.1,0.73711,0.69858,1.2751,0.87934,0.87984,0.91867,0.73121,0.70881,0.50809,1.13799,0.000139032,0.000139032,0.000139032
98,32550.5,0.73248,0.69664,1.27379,0.87897,0.88016,0.91882,0.73204,0.70812,0.50821,1.13791,0.000121968,0.000121968,0.000121968
99,32881.1,0.73143,0.68743,1.2674,0.87994,0.88059,0.91918,0.73289,0.70731,0.50697,1.13766,0.000109768,0.000109768,0.000109768
100,33213.3,0.72817,0.68545,1.26855,0.87926,0.88208,0.9196,0.73317,0.70724,0.50582,1.13808,0.000102443,0.000102443,0.000102443
